Area (sqft),Living Area (sqft),Bedrooms,Bathrooms,Garage,Age of House (years),Location Score,Price (INR),Number of Floors
3236,2032,4,1,0,8,7,16152000,4
2433,2143,2,1,1,6,9,12228500,1
3296,2160,5,2,0,8,5,16822000,1
1217,1056,1,3,0,16,5,6306500,4
2230,1987,3,2,1,2,5,11695000,2
2782,2401,2,1,1,15,1,13219000,1
1179,946,1,2,0,15,5,5955500,1
1770,1456,1,2,1,1,10,9295000,3
1089,882,4,2,0,10,8,6700500,3
3125,2306,2,3,1,15,3,15262500,2
1782,1215,5,1,0,14,9,9889000,4
983,673,2,3,0,0,9,6073500,2
762,624,2,2,0,20,6,4329000,4
3088,2432,1,3,1,16,4,14826000,1
2476,1920,4,1,0,2,4,12702000,3
1812,1441,4,1,1,21,1,9334000,2
3062,2548,2,2,1,21,10,15009000,2
1962,1617,2,2,1,18,5,9869000,4
2230,1408,3,3,1,19,5,11555000,4
1804,1278,1,1,1,6,5,8898000,2
887,602,5,1,0,21,1,5321500,4
2457,1870,5,3,1,28,1,12796500,2
786,486,4,1,1,10,10,5387000,2
2507,2077,1,2,0,29,2,11501500,2
1761,1112,4,2,0,29,1,8994500,1
729,496,5,3,1,17,8,5590500,4
2841,2371,2,3,1,24,4,13854500,3
2963,1823,1,3,1,13,6,14423500,3
2487,1984,1,2,0,15,8,11991500,4
743,651,3,3,1,5,5,5143500,2
615,482,2,1,1,1,6,3997500,3
3070,2498,2,3,0,22,4,14775000,3
844,707,4,1,0,10,6,5298000,4
1526,1017,1,2,0,10,6,7667000,3
2776,2149,4,1,1,25,3,13692000,2
1506,1043,2,1,1,9,4,7747000,4
1486,1002,3,1,1,3,6,8177000,2
940,618,1,2,0,16,8,5010000,3
2651,2056,2,1,0,9,7,12899500,3
2033,1704,3,1,1,8,4,10438500,2
905,780,5,3,0,29,3,5742500,1
1507,1097,2,3,0,12,8,8141500,3
3254,2316,5,3,0,10,6,16843000,1
1971,1589,4,1,0,9,8,10489500,3
920,767,5,1,1,23,9,5980000,1
1158,782,2,2,1,4,9,6731000,1
1804,1243,5,1,0,2,10,10278000,1
3265,2481,1,1,0,3,9,15582500,2
3358,2462,2,2,0,2,10,16571000,1
2009,1630,3,1,0,9,1,10010500,1
2241,1683,5,2,0,23,3,11674500,1
1731,1096,1,2,1,12,9,8849500,3
3178,2065,4,3,0,4,4,16221000,1
3057,2661,4,1,1,12,10,15566500,3
1417,946,5,3,1,26,2,8206500,1
1794,1103,4,1,0,23,1,9063000,1
3140,2573,3,3,1,0,5,16030000,2
611,491,2,2,0,24,4,3469500,3
794,619,1,2,0,10,5,4323000,1
3137,2354,5,2,0,25,5,15766500,3
3442,3066,4,2,1,2,8,17599000,3
2829,1799,2,1,1,16,6,13660500,4
1255,945,3,1,1,18,3,6687500,2
2521,1939,4,3,0,12,9,13354500,2
3341,2027,4,1,1,15,8,16684500,2
2677,1937,1,1,1,17,9,12806500,4
2219,1852,3,3,1,22,4,11395500,4
1719,1274,3,2,0,25,8,8935500,2
1377,1187,5,3,1,19,3,8216500,4
1043,827,1,3,0,22,5,5403500,4
897,744,5,2,1,18,7,6076500,4
1407,1183,1,3,1,29,1,6851500,2
2360,1904,3,3,1,5,1,12220000,2
1444,1191,1,3,0,22,3,7108000,2
1615,1305,1,1,0,6,4,7847500,4
1984,1518,1,2,1,14,1,9548000,2
1997,1537,2,2,1,29,8,9956500,4
1153,757,2,3,0,4,2,6408500,1
2950,2502,3,1,0,15,5,14325000,4
1020,707,1,2,1,5,6,5640000,3
1869,1421,3,2,1,2,6,10120500,2
1860,1255,2,3,0,11,6,9650000,2
784,634,1,3,1,3,1,4568000,3
1067,952,5,3,0,26,3,6531500,4
3401,2858,2,2,1,21,3,16184500,1
3010,2365,2,3,1,2,8,15255000,3
1906,1468,2,3,1,15,6,9927000,3
2176,1625,1,3,1,15,2,10642000,4
935,618,4,1,0,22,1,5217500,2
2809,1978,5,3,1,18,4,14730500,4
2097,1513,5,2,1,14,1,11256500,3
2659,2348,3,3,1,8,5,13705500,3
2047,1489,1,2,1,19,8,10081500,2
1187,920,2,1,1,1,10,6771500,2
2481,2175,4,1,1,5,2,12714500,2
800,604,1,3,0,13,8,4640000,4
1121,757,1,2,1,8,8,6134500,2
2487,1776,4,3,0,28,6,12731500,3
3152,2246,2,3,0,9,8,15604000,3
2311,1882,1,2,0,25,2,10699500,1
1387,955,5,2,0,17,7,8151500,4
659,539,5,2,1,14,8,5135500,1
1177,1020,4,2,1,3,4,7186500,3
920,644,2,2,1,4,9,5660000,1
2058,1318,4,1,0,24,6,10481000,3
2637,2087,1,1,1,22,3,12226500,1
1522,1077,5,1,0,20,4,8349000,2
2009,1527,3,2,0,5,4,10440500,1
2294,1812,4,2,1,24,1,11643000,2
1168,843,3,2,0,14,10,6776000,2
1701,1492,3,3,0,19,1,8824500,4
1126,810,5,1,0,29,1,6237000,2
3171,2195,4,1,0,28,4,15309500,2
3260,2822,3,3,1,1,1,16350000,1
2772,1776,1,3,0,15,6,13374000,3
1470,936,2,1,0,4,2,7435000,4
879,774,2,2,0,29,1,4425500,2
3269,2166,5,1,1,22,7,16470500,4
3493,2251,4,2,1,27,6,17228500,1
2492,1895,4,1,0,3,1,12604000,2
2351,1443,2,1,1,27,10,11489500,1
1273,1000,1,3,1,0,9,7228500,4
1751,1288,2,3,1,7,6,9389500,1
2961,2345,2,2,1,20,2,14174500,4
931,637,4,2,0,9,7,5959500,1
1773,1545,3,1,0,14,3,8948500,4
2639,1797,1,3,1,1,7,13255500,3
2077,1643,4,2,1,18,9,11186500,1
635,561,2,2,1,11,5,4037500,1
2308,1662,3,2,1,29,1,11306000,3
2043,1324,1,1,1,9,5,9913500,3
2853,1770,5,2,1,11,8,15068500,1
3286,2920,1,2,1,25,8,15537000,3
3495,2897,1,3,0,20,3,16377500,2
1979,1732,2,3,0,26,4,9785500,4
1039,841,2,3,1,19,8,6045500,4
3376,2372,5,1,1,24,8,16962000,4
1719,1094,5,3,0,8,7,10025500,2
763,670,5,3,0,7,6,5693500,3
747,557,4,3,1,1,4,5491500,3
2941,2114,4,3,0,20,10,15134500,1
794,614,2,2,0,29,9,4443000,3
1262,797,2,1,1,23,2,6269000,1
1079,747,5,2,0,23,2,6395500,2
722,571,4,2,1,6,1,4929000,4
2023,1274,3,1,0,3,3,10293500,4
3346,2143,4,2,1,18,3,16597000,4
1564,1177,2,3,0,7,4,8298000,3
3308,2603,4,1,0,23,3,15976000,1
2378,1560,2,2,1,12,10,12111000,1
2085,1271,5,2,0,25,6,11082500,2
2614,2319,5,3,0,20,9,13913000,3
1309,796,5,2,1,2,8,8300500,2
3043,1827,3,2,0,4,6,15213500,1
1511,1053,3,2,0,19,8,8119500,1
1960,1306,2,1,1,7,8,10030000,4
2964,2288,1,1,1,1,10,14468000,3
2334,2026,3,2,1,26,6,11733000,1
2423,1803,2,2,1,23,2,11693500,4
2179,1812,4,3,1,9,5,11825500,3
1280,1117,5,1,1,21,4,7390000,2
1933,1269,5,1,1,15,6,10548500,3
3142,2345,5,1,1,3,2,16029000,3
1155,915,2,2,0,26,4,5877500,1
1209,845,5,3,0,29,8,7360500,1
2756,2265,3,3,1,13,1,13842000,3
971,788,4,2,0,29,3,5539500,1
1215,882,5,2,1,2,4,7677500,1
3415,2139,2,3,0,9,2,16487500,1
2514,1517,4,3,0,12,2,12973000,4
2853,2027,5,1,1,4,6,14908500,4
1446,903,1,2,0,21,6,7087000,3
642,535,5,1,0,16,3,4419000,1
1464,1025,3,3,0,16,8,8168000,4
1868,1494,4,1,1,10,3,9906000,3
1978,1392,3,3,0,25,2,10001000,1
1384,1160,1,3,0,18,5,7018000,2
1075,931,1,1,1,17,7,5497500,1
682,580,3,2,0,27,1,3879000,1
1733,1291,4,1,0,16,2,8978500,4
2837,1773,1,1,0,10,2,13166500,3
1399,995,1,2,0,14,8,7115500,3
1535,1116,5,2,1,7,10,9317500,4
2898,2573,2,1,1,11,6,14071000,1
2938,2261,1,3,1,28,4,13911000,2
2268,1796,4,1,0,16,4,11486000,1
925,772,4,3,1,25,5,5862500,1
2134,1644,5,2,0,29,3,11073000,2
2585,2015,4,2,0,23,4,12972500,4
2564,1727,5,3,1,4,4,13908000,3
1436,886,1,1,1,28,7,6902000,4
1107,903,1,2,1,3,7,6121500,4
3378,2886,1,3,0,23,1,15691000,1
2719,1967,1,3,0,23,3,12825500,3
1870,1429,2,1,0,10,9,9465000,3
1240,858,2,3,0,29,6,6500000,4
2478,1821,1,3,1,7,6,12361000,2
1207,799,4,1,1,15,4,6881500,4
2558,2117,5,2,0,15,10,13611000,2
1165,870,3,2,0,2,9,6952500,3
1967,1503,5,2,1,11,3,10831500,4
2701,1650,3,3,1,23,8,13744500,1
2353,1851,3,3,0,12,6,12148500,4
3175,2098,1,1,1,0,2,15037500,3
3258,2329,3,3,0,28,3,15751000,1
2181,1578,1,3,0,3,1,10704500,1
2586,1899,2,2,0,20,3,12387000,2
2840,1897,4,3,0,5,4,14680000,1
2705,2312,3,3,1,4,6,14042500,1
728,530,4,3,1,4,10,5646000,4
2472,1937,1,1,0,20,7,11574000,3
1305,1023,3,3,0,24,3,7042500,2
1451,1134,5,1,0,9,7,8399500,4
607,466,2,2,0,25,4,3431500,1
2676,2266,2,3,0,18,1,12932000,1
1735,1463,3,1,1,17,1,8767500,2
2778,2014,2,2,0,25,8,13401000,3
2835,2241,5,3,1,1,10,15487500,2
2298,1449,4,1,0,15,7,11791000,4
3356,2104,5,1,0,14,4,16722000,2
2098,1560,2,2,0,23,1,10031000,1
2859,2487,4,3,0,4,6,14885500,4
2244,1783,5,3,1,20,10,12448000,1
875,700,1,3,1,21,7,4917500,3
2302,1490,1,1,1,8,6,11149000,1
2395,1762,4,3,0,22,6,12437500,1
842,606,4,1,1,4,8,5659000,2
3332,2781,4,1,0,4,6,16614000,1
770,493,1,2,0,25,2,3765000,4
1252,953,5,1,1,8,7,7674000,4
2532,2211,4,2,0,8,10,13334000,3
2835,2460,1,2,0,1,4,13637500,4
1709,1462,4,3,1,6,3,9670500,2
2099,1495,4,2,1,25,8,11095500,3
2699,2381,4,3,0,0,10,14445500,4
2758,2321,1,2,1,19,5,13131000,2
2572,2199,5,1,1,1,4,13604000,4
1666,1465,1,3,1,25,4,8247000,4
2858,2518,1,1,0,24,5,13131000,1
2635,1770,4,3,0,11,4,13637500,4
1457,930,3,1,1,5,3,7856500,4
3274,2642,3,2,0,19,4,15853000,2
1649,1268,3,3,0,18,10,9060500,2
898,627,1,3,1,15,5,5041000,1
1523,1226,4,3,1,3,2,8843500,4
736,455,3,2,1,17,7,4772000,1
1643,1009,2,1,0,4,5,8363500,4
3087,2180,2,2,0,24,9,14861500,3
810,533,2,2,0,21,6,4525000,3
3399,2772,5,2,0,17,1,16905500,1
2174,1922,4,1,1,5,9,11683000,1
3082,2460,1,2,1,24,5,14489000,1
1379,1098,1,3,1,13,9,7445500,2
1830,1101,4,2,1,19,1,9655000,2
3086,2325,5,1,1,16,2,15517000,2
2402,2030,4,3,0,17,3,12419000,1
3313,2637,5,1,1,20,5,16608500,4
1665,1112,3,2,0,9,6,8912500,3
1010,863,3,1,0,22,5,5455000,1
3453,3070,5,3,1,23,1,17378500,2
3257,2226,4,1,0,18,4,15896500,2
1026,679,3,3,0,24,6,5937000,1
2071,1452,4,3,1,17,4,11129500,1
1541,953,3,2,0,3,4,8374500,2
2507,2161,4,2,1,19,5,12901500,4
1341,1178,4,3,1,14,8,8104500,2
1992,1573,2,1,0,5,5,9914000,2
1843,1528,5,3,0,25,7,10243500,1
2200,1761,1,2,1,5,8,11050000,4
1855,1322,5,1,0,2,6,10307500,2
927,731,4,3,1,8,6,6261500,2
2066,1757,4,2,1,10,2,10947000,3
2699,2275,5,3,1,4,10,14815500,1
2566,1601,4,3,1,13,5,13487000,3
975,720,3,3,1,1,1,6067500,3
862,619,4,1,1,21,9,5459000,2
866,714,5,2,0,18,7,5787000,1
3006,2255,5,2,1,7,2,15537000,4
2544,1793,5,3,0,12,6,13608000,2
2493,2024,2,3,0,18,10,12558500,4
2501,1855,2,3,0,4,9,12824500,4
3299,2233,2,1,1,14,5,15765500,1
2252,1952,2,2,1,3,3,11374000,3
2044,1295,2,3,0,3,10,10838000,1
645,390,2,2,1,17,4,3912500,4
1199,771,2,3,0,23,3,6285500,2
1319,856,5,2,1,18,1,7675500,4
2512,1912,1,3,1,19,10,12474000,2
1892,1489,2,1,1,21,7,9394000,2
1200,881,5,3,0,8,8,7740000,1
980,648,1,3,0,14,2,5130000,4
717,458,2,3,0,29,8,4246500,3
2763,2065,1,3,1,11,9,13713500,4
859,661,1,3,1,3,7,5205500,4
1698,1173,3,2,0,2,1,8951000,3
2103,1400,4,2,0,4,4,11183500,1
2952,1842,3,1,0,24,7,14254000,4
2654,1613,1,3,1,16,6,12973000,4
965,609,5,2,0,4,8,6562500,2
2257,1856,2,2,1,26,6,11086500,4
3170,2229,4,3,1,3,10,16655000,3
2061,1253,2,3,0,20,6,10374500,2
2624,1974,5,1,1,6,10,14038000,1
3076,2340,4,1,1,6,6,15572000,2
1390,1012,3,2,1,6,7,7935000,3
1346,852,1,1,1,16,5,6637000,3
3014,2491,5,2,0,24,9,15433000,2
912,735,1,1,1,14,7,4824000,1
1137,816,1,3,0,6,1,5946500,2
1520,1085,2,1,1,14,9,7960000,1
1677,1084,5,2,0,19,6,9366500,2
2090,1726,1,1,1,3,8,10395000,3
3429,2674,3,2,0,1,9,17160500,4
2981,1865,4,2,1,21,2,14844500,4
1397,996,5,1,0,12,2,7846500,1
947,824,2,1,0,11,5,5091500,1
872,641,5,2,0,9,5,5894000,1
1319,919,2,3,1,18,10,7425500,3
2373,1882,4,1,1,14,10,12448500,2
3147,2079,3,2,0,16,2,15241500,3
1284,972,1,3,1,20,10,6928000,4
2726,2183,5,2,0,5,4,14267000,1
1221,1045,2,1,0,26,9,6224500,2
2639,2131,4,2,1,4,4,13745500,4
1546,1105,1,2,1,20,1,7457000,4
3005,2495,4,2,1,27,5,14982500,4
3265,2838,3,1,1,25,2,15542500,3
1106,822,1,3,1,12,6,6087000,1
2182,1312,1,3,1,29,1,10339000,4
3223,2785,1,3,0,26,7,15233500,1
843,547,2,3,0,13,7,5083500,3
1105,704,1,1,0,28,4,5112500,4
1021,706,4,2,1,23,9,6334500,3
2864,2044,2,3,0,13,3,13978000,3
2472,2076,1,3,1,29,5,11844000,1
1792,1284,4,1,1,14,5,9584000,4
929,571,4,2,1,15,8,6030500,3
1249,987,5,2,0,9,10,7840500,4
2064,1654,4,3,0,0,10,11588000,1
990,835,3,3,1,23,4,5845000,3
2119,1524,1,2,0,28,1,9725500,1
980,613,1,1,1,10,5,5110000,4
1341,1027,1,2,1,6,1,6814500,4
2610,1660,4,2,0,16,3,13175000,1
1419,858,4,3,1,29,6,8055500,2
1272,1060,1,1,1,24,1,5944000,3
3160,2278,2,1,1,27,10,15130000,4
2371,1796,2,1,1,3,3,11709500,4
1811,1446,3,3,0,28,7,9439500,3
1529,1101,5,1,0,6,2,8560500,1
2139,1316,3,1,1,2,6,11135500,1
1512,1021,1,3,1,23,7,7744000,1
1243,818,1,2,1,19,2,6163500,2
1026,916,1,1,0,13,5,5107000,2
1101,904,5,2,0,17,10,7014500,4
1329,977,4,1,0,17,10,7540500,1
1883,1165,5,2,0,23,1,9963500,3
2718,1725,3,2,0,29,3,13101000,4
3125,2637,4,3,1,23,1,15602500,3
1056,933,4,3,0,0,3,6702000,4
2836,1728,3,1,0,5,4,13962000,2
890,777,4,1,1,8,5,5645000,4
1519,1084,2,3,0,24,4,7755500,2
2939,1951,3,1,1,1,4,14655500,4
2569,1620,3,1,1,7,9,13120500,1
1355,1126,2,3,0,23,9,7287500,3
2258,1672,5,2,0,19,9,12131000,1
2434,2068,5,1,0,29,5,12323000,4
1906,1272,5,3,0,3,5,10867000,4
2167,1741,4,1,1,20,2,11001500,4
2469,1568,2,1,1,26,6,11840500,2
976,611,3,3,0,9,2,5812000,3
1779,1138,3,3,1,22,10,9715500,3
1107,932,3,1,1,0,5,6481500,4
2036,1622,4,1,1,10,5,10762000,4
3175,2063,4,2,0,8,4,15927500,2
1158,828,5,2,1,18,5,7151000,1
2907,2410,4,3,1,10,7,15181500,1
1020,699,5,1,1,3,10,6880000,3
2152,1885,5,3,0,22,2,11444000,2
903,789,3,3,1,4,1,5683500,4
1541,1180,4,1,1,20,4,8284500,3
3189,2518,5,2,1,16,7,16430500,2
1901,1513,2,3,1,17,1,9614500,1
1689,1144,2,3,1,4,4,9070500,2
2755,1954,4,1,1,17,6,13907500,1
2915,1867,3,2,1,16,6,14547500,2
2869,2517,3,2,0,25,1,13760500,3
2427,1983,5,1,0,2,7,12931500,1
2153,1321,4,3,0,10,5,11538500,3
1292,988,2,1,0,16,6,6594000,3
854,600,5,1,0,25,1,5093000,1
2078,1755,5,2,0,7,7,11461000,1
2900,2039,1,3,1,23,4,13840000,4
856,679,4,3,0,7,3,5662000,4
3030,1968,5,2,0,22,4,15295000,4
1041,799,2,3,0,22,9,5894500,3
2481,1707,1,3,0,1,5,12294500,3
3246,2108,2,1,1,24,5,15327000,4
1713,1346,3,1,1,6,8,9238500,3
3037,2404,1,1,1,20,7,14266500,3
1181,1057,1,3,1,19,3,6134500,1
2335,1869,5,3,0,23,1,12197500,1
3245,2449,3,3,1,20,2,15952500,3
618,539,5,3,0,5,3,4931000,4
1724,1462,4,2,1,19,1,9178000,2
3254,2488,2,2,0,17,1,15353000,4
1980,1491,2,3,0,27,8,9970000,2
2165,1910,5,1,1,6,8,11872500,4
2680,2104,2,1,1,27,2,12570000,1
2593,2111,2,2,1,17,8,12878500,3
2147,1344,4,2,1,26,2,10991500,3
1461,1191,3,3,1,11,5,8254500,1
754,512,1,3,1,6,1,4373000,2
1504,954,5,3,1,6,9,9348000,2
1869,1597,5,3,0,0,4,10710500,2
1004,810,4,3,1,28,10,6408000,1
1443,1042,4,1,0,9,2,7813500,2
2382,1737,1,1,0,9,1,11089000,1
2164,1426,3,3,1,11,6,11468000,4
1784,1075,5,1,0,2,8,10088000,4
1346,948,4,3,1,2,4,8167000,1
2325,1498,5,3,0,12,1,12372500,3
870,632,2,2,1,12,1,4875000,4
1369,1163,5,1,1,26,6,7790500,2
2315,1468,3,1,1,5,2,11667500,1
2110,1324,3,2,1,26,5,10675000,2
771,671,5,1,1,2,2,5379500,2
873,718,2,2,0,27,9,4838500,3
2906,1789,3,1,1,14,2,14147000,2
1758,1096,4,3,1,8,5,9951000,3
2306,1857,5,2,0,20,4,12077000,4
2371,1686,2,3,1,5,1,11969500,1
1021,834,4,3,0,5,10,6794500,2
2044,1474,5,1,1,7,9,11358000,1
1809,1610,2,2,0,25,3,8790500,2
3011,2433,4,3,1,10,10,15799500,1
3025,1857,3,3,1,18,8,15302500,2
1179,824,5,2,0,15,4,7105500,2
1490,1145,5,1,0,8,9,8695000,2
1321,848,3,3,0,22,5,7254500,2
1480,889,1,1,0,10,2,7060000,2
1721,1073,4,2,0,15,8,9444500,2
3252,2462,3,1,1,28,4,15524000,2
2607,2058,5,2,1,5,2,13781500,2
2669,1675,4,1,0,26,6,13190500,2
2073,1657,4,1,0,16,1,10458500,1
982,771,1,3,0,15,8,5419000,3
2781,2452,5,1,1,19,9,14434500,2
2049,1746,2,3,1,20,7,10520500,3
3150,2781,1,2,0,27,9,14785000,2
2190,1948,1,2,1,17,2,10465000,2
2386,1747,2,3,0,0,1,11987000,1
743,554,2,1,1,17,7,4303500,4
2486,1701,1,2,0,7,4,11947000,4
2302,1732,4,2,0,25,10,11959000,1
2035,1313,3,2,1,21,8,10587500,3
823,659,3,3,1,9,3,5323500,4
819,497,1,2,0,1,7,4715500,1
778,521,4,2,0,8,7,5291000,1
2254,1493,2,2,1,23,10,11333000,4
1032,909,1,2,0,3,9,5734000,3
864,555,5,3,0,10,4,5988000,1
1553,1346,4,3,0,9,10,9108500,2
1028,655,5,1,0,13,1,6116000,3
3063,2435,5,2,0,6,7,15913500,3
3374,2348,1,3,0,18,10,16223000,4
2844,1976,4,1,1,5,6,14548000,4
2177,1958,5,1,1,15,1,11396500,2
1079,720,4,2,0,18,9,6545500,1
1953,1290,3,1,0,25,10,9888500,4
1489,1156,5,3,1,28,8,8790500,4
1524,1253,5,1,0,18,10,8698000,3
2770,2478,4,1,1,12,4,13975000,4
2502,2027,3,3,1,11,5,12939000,4
2010,1544,5,1,0,26,8,10625000,4
1962,1418,1,1,0,24,2,8949000,4
1377,1072,4,1,0,21,6,7476500,3
2995,2336,4,1,1,14,10,15247500,2
628,417,5,2,1,7,2,4836000,2
634,508,3,2,0,3,8,4493000,1
2019,1335,5,3,0,19,5,11055500,4
3270,2442,2,1,0,7,10,15875000,3
1188,805,5,3,1,22,3,7306000,1
1503,1042,2,2,0,20,2,7463500,1
3167,2483,1,1,1,15,4,14801500,2
2769,1714,4,1,0,15,8,13960500,3
939,566,4,2,0,1,1,5855500,3
774,494,3,1,1,21,10,4813000,3
2523,1641,5,1,1,16,3,13033500,2
2314,1525,1,2,1,22,1,10873000,2
1196,995,2,3,1,24,2,6352000,2
1050,770,3,3,1,4,10,6795000,2
1156,856,1,1,1,4,7,6122000,2
1759,1395,1,2,0,11,1,8445500,4
1956,1601,2,3,1,6,9,10482000,4
2656,1596,2,3,0,4,8,13472000,3
2981,2554,4,1,0,25,1,14364500,1
1616,1448,5,3,0,27,10,9332000,3
2974,1893,3,2,1,27,1,14343000,1
2662,2117,5,3,1,3,2,14269000,2
1438,863,3,2,0,16,2,7551000,1
2237,1375,1,2,0,5,6,10966500,3
825,565,2,1,0,13,1,4302500,3
2413,2060,2,3,1,8,4,12248500,1
2760,2196,1,1,0,3,7,13210000,4
2620,1922,1,3,1,25,9,12790000,2
2051,1500,3,1,0,10,10,10629500,2
2648,1959,1,1,1,19,3,12336000,3
2913,2019,3,1,1,20,4,14158500,4
2114,1825,5,3,0,15,5,11563000,1
1831,1410,2,1,1,15,5,9139500,2
2245,1672,2,2,0,15,2,10902500,4
2335,1726,2,3,0,5,5,11857500,2
905,797,5,2,0,14,10,6192500,4
2659,2172,5,1,0,2,1,13675500,4
2323,1494,4,1,0,8,7,12043500,3
2289,1673,3,2,1,0,5,12000500,2
2117,1453,3,1,0,10,6,10726500,1
1991,1784,4,3,1,21,9,10939500,3
1019,738,2,2,0,5,3,5635500,3
2818,1748,3,3,0,23,1,13771000,1
733,530,3,3,1,4,8,5268500,3
2630,1831,2,3,0,24,2,12655000,4
2050,1598,1,1,0,24,2,9345000,4
2153,1437,1,1,1,27,10,10298500,2
1764,1077,4,2,1,17,4,9548000,2
2469,1552,5,2,0,20,5,12860500,1
2419,1656,3,3,0,11,1,12215500,2
3305,2328,3,1,0,6,3,16002500,4
1942,1651,4,1,0,1,8,10519000,1
2064,1405,4,1,0,6,6,10868000,1
2826,1722,3,2,0,8,3,14007000,2
1679,1400,2,1,0,23,7,8245500,4
1778,1530,2,3,0,25,6,9001000,1
2295,1715,5,3,0,24,5,12197500,4
710,486,3,3,1,29,8,4665000,4
2784,2315,3,1,1,19,8,13798000,4
2879,1735,3,3,0,7,3,14465500,2
1067,935,3,3,1,8,8,6691500,3
3379,2904,4,2,1,9,10,17275500,3
3128,2388,1,2,0,11,9,15006000,1
1413,965,3,1,1,1,10,8088500,4
1872,1141,1,1,1,9,3,9044000,2
1593,1433,2,1,1,2,8,8478500,4
2631,2180,5,1,1,0,8,14089500,4
922,646,2,1,1,16,7,5129000,2
1503,910,3,2,0,25,8,7963500,3
2141,1695,2,2,0,21,1,10264500,4
2599,2328,4,2,1,0,3,13595500,4
2415,1961,1,3,1,4,6,12137500,3
3253,2033,3,3,1,29,7,16058500,2
3076,2216,4,2,0,13,7,15532000,1
747,472,1,2,1,5,6,4411500,3
1741,1521,4,1,0,8,4,9274500,1
1449,1013,2,2,1,21,5,7500500,1
966,792,3,1,1,13,9,5787000,3
3497,2187,2,2,0,3,1,16726500,4
1689,1078,5,1,0,0,2,9400500,1
2638,2120,3,2,0,5,5,13321000,1
3460,2951,2,1,1,6,5,16650000,2
774,511,3,3,1,20,7,5083000,4
2454,1780,1,3,0,5,8,12243000,1
1187,932,3,1,1,25,10,6591500,2
1094,917,3,1,0,23,6,5863000,4
1737,1369,1,3,0,0,6,9016500,3
2384,1498,2,2,1,7,5,11988000,3
1770,1350,3,1,1,11,5,9245000,2
634,548,4,2,1,28,8,4443000,3
1598,1374,3,3,1,10,5,8891000,1
1932,1498,2,3,1,1,6,10324000,4
3185,2862,1,1,1,1,3,15112500,1
3397,2145,2,2,1,23,5,16226500,1
1637,1217,5,3,0,1,9,9896500,3
973,810,3,2,0,7,3,5688500,1
3204,2057,3,3,1,20,8,16068000,3
2051,1829,1,1,0,24,7,9599500,4
2351,1660,3,2,0,24,4,11599500,4
2880,2030,4,2,0,29,5,14230000,1
1304,865,4,1,0,23,8,7208000,2
1162,797,2,1,1,29,10,6099000,3
3373,2608,1,1,0,24,7,15548500,3
2473,1802,5,1,0,6,10,13208500,1
2723,1791,2,3,1,15,10,13803500,3
1038,874,1,2,0,23,2,5011000,3
2483,1536,1,3,0,21,8,12053500,2
2579,2193,2,1,1,8,8,12795500,2
1298,885,2,3,0,15,9,7191000,1
1912,1431,3,3,1,1,2,10334000,2
2163,1545,5,2,1,2,4,11943500,1
1291,995,4,2,1,1,2,7639500,4
2900,2432,3,2,0,21,4,14130000,1
1800,1614,1,1,0,18,3,8390000,4
3057,2114,5,1,1,26,7,15436500,1
2234,1711,5,2,1,16,5,12033000,3
2233,1651,2,3,1,19,7,11368500,2
726,653,5,2,0,20,2,4867000,4
2106,1774,5,1,0,11,4,11157000,1
1791,1287,1,3,1,10,6,9209500,2
3239,2406,3,1,0,19,5,15545500,1
893,601,5,2,0,21,2,5598500,2
1966,1625,2,2,1,18,7,9987000,2
1619,1381,3,3,0,25,2,8385500,1
2957,2630,2,2,0,5,9,14656500,4
3309,2547,5,1,1,9,7,16910500,4
3175,2543,3,1,0,13,3,15277500,3
3187,2338,5,1,0,0,6,16341500,2
1018,796,1,3,0,14,5,5451000,3
1043,734,3,1,1,5,9,6293500,3
1284,1054,2,2,0,12,3,6688000,1
3487,2115,1,3,0,23,2,16231500,1
2883,1754,4,1,0,25,2,13973500,1
2062,1680,2,1,0,13,4,10019000,2
2861,2515,5,2,0,12,1,14584500,1
684,540,2,2,1,23,9,4218000,1
3441,2814,4,3,0,15,3,17134500,2
2367,2005,2,1,1,0,5,11851500,2
684,484,1,1,0,13,2,3418000,4
2544,1608,2,2,1,12,8,12758000,1
2712,2386,3,3,1,22,3,13564000,1
2269,2000,4,2,0,29,5,11480500,1
1262,924,2,2,1,9,7,6999000,4
1226,815,4,3,0,9,2,7237000,1
663,575,1,1,1,27,3,3243500,4
1518,1233,3,1,0,3,8,8271000,3
1975,1189,5,1,0,13,10,10827500,4
1781,1126,2,3,0,11,8,9394500,3
2212,1979,1,3,0,21,3,10584000,1
1090,666,4,3,1,5,10,7255000,3
2478,1696,4,3,0,14,7,13021000,4
2540,1941,1,3,0,4,2,12350000,2
912,597,2,2,0,9,9,5374000,3
3262,2184,5,1,1,8,8,16769000,3
1518,1071,2,3,0,26,9,7961000,1
2482,1689,3,1,1,9,9,12689000,4
1412,1187,2,3,1,23,7,7594000,3
2089,1566,3,1,0,11,4,10480500,3
1926,1316,4,2,1,21,5,10247000,3
1279,887,3,1,0,3,7,7145500,3
1034,632,5,1,1,28,5,6193000,2
1281,787,1,3,0,3,10,7104500,4
1758,1433,3,1,0,12,8,9171000,1
1673,1060,2,2,0,24,5,8298500,1
2055,1526,3,2,1,13,5,10687500,2
2987,2547,4,2,1,11,5,15221500,4
2994,2127,3,3,1,12,4,15083000,3
